jurisdiction,week,first_dose_m,second_dose_m,all_doses_m,cumulative_doses_m,first_dose_p,second_dose_p,all_doses_p,cumulative_doses_p,first_dose_both,second_dose_both,all_doses_both,cumulative_doses_both
north dakota,02/22/2021,7500,7500,15000,129800,8190,8190,16380,106080,15690,15690,31380,235880
north dakota,03/01/2021,7500,7500,15000,144800,9360,9360,18720,124800,16860,16860,33720,269600
north dakota,03/08/2021,7500,7500,15000,159800,10530,10530,21060,145860,18030,18030,36060,305660
north dakota,03/15/2021,7500,7500,15000,174800,10530,10530,21060,166920,18030,18030,36060,341720
north dakota,03/22/2021,7500,7500,15000,189800,10530,10530,21060,187980,18030,18030,36060,377780
north dakota,03/29/2021,7500,7500,15000,204800,12870,12870,25740,213720,20370,20370,40740,418520
north dakota,12/21/2020,13200,13200,26400,26400,4875,4875,9750,9750,18075,18075,36150,36150
north dakota,12/28/2020,4600,4600,9200,35600,5850,5850,11700,21450,10450,10450,20900,57050
ohio,01/04/2021,69500,69500,139000,682200,70200,70200,140400,460200,139700,139700,279400,1142400
ohio,01/11/2021,69700,69700,139400,821600,70200,70200,140400,600600,139900,139900,279800,1422200
ohio,01/18/2021,73200,73200,146400,968000,73125,73125,146250,746850,146325,146325,292650,1714850
ohio,01/25/2021,73200,73200,146400,1114400,73125,73125,146250,893100,146325,146325,292650,2007500
ohio,02/01/2021,96600,96600,193200,1307600,72150,72150,144300,1037400,168750,168750,337500,2345000
ohio,02/08/2021,105600,105600,211200,1518800,73125,73125,146250,1183650,178725,178725,357450,2702450
ohio,02/15/2021,114100,114100,228200,1747000,73125,73125,146250,1329900,187225,187225,374450,3076900
ohio,02/22/2021,114100,114100,228200,1975200,115830,115830,231660,1561560,229930,229930,459860,3536760
ohio,03/01/2021,114100,114100,228200,2203400,132210,132210,264420,1825980,246310,246310,492620,4029380
ohio,03/08/2021,114100,114100,228200,2431600,143910,143910,287820,2113800,258010,258010,516020,4545400
ohio,03/15/2021,114100,114100,228200,2659800,155610,155610,311220,2425020,269710,269710,539420,5084820
ohio,03/22/2021,114100,114100,228200,2888000,157950,157950,315900,2740920,272050,272050,544100,5628920
ohio,03/29/2021,114100,114100,228200,3116200,194220,194220,388440,3129360,308320,308320,616640,6245560
ohio,12/21/2020,201900,201900,403800,403800,70200,70200,140400,140400,272100,272100,544200,544200
ohio,12/28/2020,69700,69700,139400,543200,89700,89700,179400,319800,159400,159400,318800,863000
oklahoma,01/04/2021,22800,22800,45600,223800,23400,23400,46800,152100,46200,46200,92400,375900
oklahoma,01/11/2021,22900,22900,45800,269600,23400,23400,46800,198900,46300,46300,92600,468500
oklahoma,01/18/2021,24100,24100,48200,317800,24375,24375,48750,247650,48475,48475,96950,565450
oklahoma,01/25/2021,24100,24100,48200,366000,24375,24375,48750,296400,48475,48475,96950,662400
oklahoma,02/01/2021,31700,31700,63400,429400,24375,24375,48750,345150,56075,56075,112150,774550
oklahoma,02/08/2021,34700,34700,69400,498800,24375,24375,48750,393900,59075,59075,118150,892700
oklahoma,02/15/2021,37500,37500,75000,573800,24375,24375,48750,442650,61875,61875,123750,1016450
oklahoma,02/22/2021,37500,37500,75000,648800,38610,38610,77220,519870,76110,76110,152220,1168670
oklahoma,03/01/2021,37500,37500,75000,723800,43290,43290,86580,606450,80790,80790,161580,1330250
oklahoma,03/08/2021,37500,37500,75000,798800,47970,47970,95940,702390,85470,85470,170940,1501190
oklahoma,03/15/2021,37500,37500,75000,873800,51480,51480,102960,805350,88980,88980,177960,1679150
oklahoma,03/22/2021,37500,37500,75000,948800,52650,52650,105300,910650,90150,90150,180300,1859450
oklahoma,03/29/2021,37500,37500,75000,1023800,64350,64350,128700,1039350,101850,101850,203700,2063150
oklahoma,12/21/2020,66200,66200,132400,132400,23400,23400,46800,46800,89600,89600,179200,179200
oklahoma,12/28/2020,22900,22900,45800,178200,29250,29250,58500,105300,52150,52150,104300,283500
oregon,01/04/2021,24800,24800,49600,243800,25350,25350,50700,165750,50150,50150,100300,409550
oregon,01/11/2021,25000,25000,50000,293800,25350,25350,50700,216450,50350,50350,100700,510250
oregon,01/18/2021,26200,26200,52400,346200,26325,26325,52650,269100,52525,52525,105050,615300
oregon,01/25/2021,26200,26200,52400,398600,26325,26325,52650,321750,52525,52525,105050,720350
oregon,02/01/2021,34600,34600,69200,467800,26325,26325,52650,374400,60925,60925,121850,842200
oregon,02/08/2021,37800,37800,75600,543400,26325,26325,52650,427050,64125,64125,128250,970450
oregon,02/15/2021,40800,40800,81600,625000,26325,26325,52650,479700,67125,67125,134250,1104700
oregon,02/22/2021,40800,40800,81600,706600,42120,42120,84240,563940,82920,82920,165840,1270540
oregon,03/01/2021,40800,40800,81600,788200,47970,47970,95940,659880,88770,88770,177540,1448080
oregon,03/08/2021,40800,40800,81600,869800,51480,51480,102960,762840,92280,92280,184560,1632640
oregon,03/15/2021,40800,40800,81600,951400,56160,56160,112320,875160,96960,96960,193920,1826560
oregon,03/22/2021,40800,40800,81600,1033000,57330,57330,114660,989820,98130,98130,196260,2022820
oregon,03/29/2021,40800,40800,81600,1114600,70200,70200,140400,1130220,111000,111000,222000,2244820
oregon,12/21/2020,72100,72100,144200,144200,25350,25350,50700,50700,97450,97450,194900,194900
oregon,12/28/2020,25000,25000,50000,194200,32175,32175,64350,115050,57175,57175,114350,309250
pennsylvania,01/04/2021,68400,68400,136800,671800,69225,69225,138450,454350,137625,137625,275250,1126150
pennsylvania,01/11/2021,68700,68700,137400,809200,69225,69225,138450,592800,137925,137925,275850,1402000
pennsylvania,01/18/2021,72100,72100,144200,953400,71175,71175,142350,735150,143275,143275,286550,1688550
pennsylvania,01/25/2021,72100,72100,144200,1097600,71175,71175,142350,877500,143275,143275,286550,1975100
pennsylvania,02/01/2021,95200,95200,190400,1288000,71175,71175,142350,1019850,166375,166375,332750,2307850
pennsylvania,02/08/2021,104000,104000,208000,1496000,71175,71175,142350,1162200,175175,175175,350350,2658200
pennsylvania,02/15/2021,112400,112400,224800,1720800,71175,71175,142350,1304550,183575,183575,367150,3025350
pennsylvania,02/22/2021,112400,112400,224800,1945600,113490,113490,226980,1531530,225890,225890,451780,3477130
pennsylvania,03/01/2021,112400,112400,224800,2170400,129870,129870,259740,1791270,242270,242270,484540,3961670
pennsylvania,03/08/2021,112400,112400,224800,2395200,141570,141570,283140,2074410,253970,253970,507940,4469610
pennsylvania,03/15/2021,112400,112400,224800,2620000,153270,153270,306540,2380950,265670,265670,531340,5000950
pennsylvania,03/22/2021,112400,112400,224800,2844800,155610,155610,311220,2692170,268010,268010,536020,5536970
pennsylvania,03/29/2021,112400,112400,224800,3069600,190710,190710,381420,3073590,303110,303110,606220,6143190
pennsylvania,12/21/2020,198800,198800,397600,397600,69225,69225,138450,138450,268025,268025,536050,536050
pennsylvania,12/28/2020,68700,68700,137400,535000,88725,88725,177450,315900,157425,157425,314850,850900
rhode island,01/04/2021,6600,6600,13200,64400,6825,6825,13650,44850,13425,13425,26850,109250
rhode island,01/11/2021,6600,6600,13200,77600,6825,6825,13650,58500,13425,13425,26850,136100
rhode island,01/18/2021,6900,6900,13800,91400,6825,6825,13650,72150,13725,13725,27450,163550
rhode island,01/25/2021,6900,6900,13800,105200,6825,6825,13650,85800,13725,13725,27450,191000
rhode island,02/01/2021,9100,9100,18200,123400,6825,6825,13650,99450,15925,15925,31850,222850
rhode island,02/08/2021,10000,10000,20000,143400,6825,6825,13650,113100,16825,16825,33650,256500
rhode island,02/15/2021,10800,10800,21600,165000,6825,6825,13650,126750,17625,17625,35250,291750
rhode island,02/22/2021,10800,10800,21600,186600,11700,11700,23400,150150,22500,22500,45000,336750
rhode island,03/01/2021,10800,10800,21600,208200,12870,12870,25740,175890,23670,23670,47340,384090
rhode island,03/08/2021,10800,10800,21600,229800,14040,14040,28080,203970,24840,24840,49680,433770
rhode island,03/15/2021,10800,10800,21600,251400,15210,15210,30420,234390,26010,26010,52020,485790
rhode island,03/22/2021,10800,10800,21600,273000,15210,15210,30420,264810,26010,26010,52020,537810
rhode island,03/29/2021,10800,10800,21600,294600,18720,18720,37440,302250,29520,29520,59040,596850
rhode island,12/21/2020,19000,19000,38000,38000,6825,6825,13650,13650,25825,25825,51650,51650
rhode island,12/28/2020,6600,6600,13200,51200,8775,8775,17550,31200,15375,15375,30750,82400
south carolina,01/04/2021,29700,29700,59400,292000,30225,30225,60450,198900,59925,59925,119850,490900
south carolina,01/11/2021,29900,29900,59800,351800,30225,30225,60450,259350,60125,60125,120250,611150
south carolina,01/18/2021,31400,31400,62800,414600,31200,31200,62400,321750,62600,62600,125200,736350
south carolina,01/25/2021,31400,31400,62800,477400,31200,31200,62400,384150,62600,62600,125200,861550
south carolina,02/01/2021,41400,41400,82800,560200,31200,31200,62400,446550,72600,72600,145200,1006750
south carolina,02/08/2021,45200,45200,90400,650600,31200,31200,62400,508950,76400,76400,152800,1159550
south carolina,02/15/2021,48800,48800,97600,748200,31200,31200,62400,571350,80000,80000,160000,1319550
south carolina,02/22/2021,48800,48800,97600,845800,49140,49140,98280,669630,97940,97940,195880,1515430
south carolina,03/01/2021,48800,48800,97600,943400,57330,57330,114660,784290,106130,106130,212260,1727690
south carolina,03/08/2021,48800,48800,97600,1041000,62010,62010,124020,908310,110810,110810,221620,1949310
south carolina,03/15/2021,48800,48800,97600,1138600,66690,66690,133380,1041690,115490,115490,230980,2180290
south carolina,03/22/2021,48800,48800,97600,1236200,67860,67860,135720,1177410,116660,116660,233320,2413610
south carolina,03/29/2021,48800,48800,97600,1333800,83070,83070,166140,1343550,131870,131870,263740,2677350
south carolina,12/21/2020,86400,86400,172800,172800,30225,30225,60450,60450,116625,116625,233250,233250
south carolina,12/28/2020,29900,29900,59800,232600,39000,39000,78000,138450,68900,68900,137800,371050
south dakota,01/04/2021,5100,5100,10200,49600,5850,5850,11700,37050,10950,10950,21900,86650
south dakota,01/11/2021,5100,5100,10200,59800,5850,5850,11700,48750,10950,10950,21900,108550
south dakota,01/18/2021,5300,5300,10600,70400,5850,5850,11700,60450,11150,11150,22300,130850
south dakota,01/25/2021,5300,5300,10600,81000,5850,5850,11700,72150,11150,11150,22300,153150
south dakota,02/01/2021,7000,7000,14000,95000,5850,5850,11700,83850,12850,12850,25700,178850
south dakota,02/08/2021,7700,7700,15400,110400,5850,5850,11700,95550,13550,13550,27100,205950
south dakota,02/15/2021,8300,8300,16600,127000,5850,5850,11700,107250,14150,14150,28300,234250
south dakota,02/22/2021,8300,8300,16600,143600,9360,9360,18720,125970,17660,17660,35320,269570
south dakota,03/01/2021,8300,8300,16600,160200,10530,10530,21060,147030,18830,18830,37660,307230
south dakota,03/08/2021,8300,8300,16600,176800,10530,10530,21060,168090,18830,18830,37660,344890
south dakota,03/15/2021,8300,8300,16600,193400,11700,11700,23400,191490,20000,20000,40000,384890
south dakota,03/22/2021,8300,8300,16600,210000,11700,11700,23400,214890,20000,20000,40000,424890
south dakota,03/29/2021,8300,8300,16600,226600,14040,14040,28080,242970,22340,22340,44680,469570
south dakota,12/21/2020,14600,14600,29200,29200,5850,5850,11700,11700,20450,20450,40900,40900
south dakota,12/28/2020,5100,5100,10200,39400,6825,6825,13650,25350,11925,11925,23850,64750
tennessee,01/04/2021,39700,39700,79400,389400,39975,39975,79950,263250,79675,79675,159350,652650
tennessee,01/11/2021,39800,39800,79600,469000,39975,39975,79950,343200,79775,79775,159550,812200
tennessee,01/18/2021,41800,41800,83600,552600,41925,41925,83850,427050,83725,83725,167450,979650
tennessee,01/25/2021,41800,41800,83600,636200,41925,41925,83850,510900,83725,83725,167450,1147100
tennessee,02/01/2021,55200,55200,110400,746600,41925,41925,83850,594750,97125,97125,194250,1341350
tennessee,02/08/2021,60300,60300,120600,867200,41925,41925,83850,678600,102225,102225,204450,1545800
tennessee,02/15/2021,65200,65200,130400,997600,41925,41925,83850,762450,107125,107125,214250,1760050
tennessee,02/22/2021,65200,65200,130400,1128000,65520,65520,131040,893490,130720,130720,261440,2021490
tennessee,03/01/2021,65200,65200,130400,1258400,76050,76050,152100,1045590,141250,141250,282500,2303990
tennessee,03/08/2021,65200,65200,130400,1388800,83070,83070,166140,1211730,148270,148270,296540,2600530
tennessee,03/15/2021,65200,65200,130400,1519200,88920,88920,177840,1389570,154120,154120,308240,2908770
tennessee,03/22/2021,65200,65200,130400,1649600,90090,90090,180180,1569750,155290,155290,310580,3219350
tennessee,03/29/2021,65200,65200,130400,1780000,111150,111150,222300,1792050,176350,176350,352700,3572050
tennessee,12/21/2020,115200,115200,230400,230400,39975,39975,79950,79950,155175,155175,310350,310350
tennessee,12/28/2020,39800,39800,79600,310000,51675,51675,103350,183300,91475,91475,182950,493300
texas,01/04/2021,158500,158500,317000,1556200,158925,158925,317850,1045200,317425,317425,634850,2601400
texas,01/11/2021,159100,159100,318200,1874400,159900,159900,319800,1365000,319000,319000,638000,3239400
texas,01/18/2021,167100,167100,334200,2208600,165750,165750,331500,1696500,332850,332850,665700,3905100
texas,01/25/2021,167100,167100,334200,2542800,165750,165750,331500,2028000,332850,332850,665700,4570800
texas,02/01/2021,220500,220500,441000,2983800,164775,164775,329550,2357550,385275,385275,770550,5341350
texas,02/08/2021,241000,241000,482000,3465800,165750,165750,331500,2689050,406750,406750,813500,6154850
texas,02/15/2021,260400,260400,520800,3986600,165750,165750,331500,3020550,426150,426150,852300,7007150
texas,02/22/2021,260400,260400,520800,4507400,262080,262080,524160,3544710,522480,522480,1044960,8052110
texas,03/01/2021,260400,260400,520800,5028200,300690,300690,601380,4146090,561090,561090,1122180,9174290
texas,03/08/2021,260400,260400,520800,5549000,328770,328770,657540,4803630,589170,589170,1178340,10352630
texas,03/15/2021,260400,260400,520800,6069800,353340,353340,706680,5510310,613740,613740,1227480,11580110
texas,03/22/2021,260400,260400,520800,6590600,359190,359190,718380,6228690,619590,619590,1239180,12819290
texas,03/29/2021,260400,260400,520800,7111400,441090,441090,882180,7110870,701490,701490,1402980,14222270
texas,12/21/2020,460500,460500,921000,921000,159900,159900,319800,319800,620400,620400,1240800,1240800
texas,12/28/2020,159100,159100,318200,1239200,203775,203775,407550,727350,362875,362875,725750,1966550
utah,01/04/2021,16500,16500,33000,161800,16575,16575,33150,109200,33075,33075,66150,271000
utah,01/11/2021,16600,16600,33200,195000,16575,16575,33150,142350,33175,33175,66350,337350
utah,01/18/2021,17400,17400,34800,229800,17550,17550,35100,177450,34950,34950,69900,407250
utah,01/25/2021,17400,17400,34800,264600,17550,17550,35100,212550,34950,34950,69900,477150
utah,02/01/2021,22900,22900,45800,310400,17550,17550,35100,247650,40450,40450,80900,558050
utah,02/08/2021,25100,25100,50200,360600,17550,17550,35100,282750,42650,42650,85300,643350
utah,02/15/2021,27100,27100,54200,414800,17550,17550,35100,317850,44650,44650,89300,732650
utah,02/22/2021,27100,27100,54200,469000,28080,28080,56160,374010,55180,55180,110360,843010
utah,03/01/2021,27100,27100,54200,523200,31590,31590,63180,437190,58690,58690,117380,960390
utah,03/08/2021,27100,27100,54200,577400,35100,35100,70200,507390,62200,62200,124400,1084790
utah,03/15/2021,27100,27100,54200,631600,37440,37440,74880,582270,64540,64540,129080,1213870
utah,03/22/2021,27100,27100,54200,685800,37440,37440,74880,657150,64540,64540,129080,1342950
utah,03/29/2021,27100,27100,54200,740000,46800,46800,93600,750750,73900,73900,147800,1490750
utah,12/21/2020,47800,47800,95600,95600,16575,16575,33150,33150,64375,64375,128750,128750
utah,12/28/2020,16600,16600,33200,128800,21450,21450,42900,76050,38050,38050,76100,204850
vermont,01/04/2021,3900,3900,7800,38600,3900,3900,7800,29250,7800,7800,15600,67850
vermont,01/11/2021,4000,4000,8000,46600,4875,4875,9750,39000,8875,8875,17750,85600
vermont,01/18/2021,4200,4200,8400,55000,4875,4875,9750,48750,9075,9075,18150,103750
vermont,01/25/2021,4200,4200,8400,63400,4875,4875,9750,58500,9075,9075,18150,121900
vermont,02/01/2021,5500,5500,11000,74400,4875,4875,9750,68250,10375,10375,20750,142650
vermont,02/08/2021,6000,6000,12000,86400,4875,4875,9750,78000,10875,10875,21750,164400
vermont,02/15/2021,6500,6500,13000,99400,4875,4875,9750,87750,11375,11375,22750,187150
vermont,02/22/2021,6500,6500,13000,112400,7020,7020,14040,101790,13520,13520,27040,214190
vermont,03/01/2021,6500,6500,13000,125400,8190,8190,16380,118170,14690,14690,29380,243570
vermont,03/08/2021,6500,6500,13000,138400,8190,8190,16380,134550,14690,14690,29380,272950
vermont,03/15/2021,6500,6500,13000,151400,9360,9360,18720,153270,15860,15860,31720,304670
vermont,03/22/2021,6500,6500,13000,164400,9360,9360,18720,171990,15860,15860,31720,336390
vermont,03/29/2021,6500,6500,13000,177400,11700,11700,23400,195390,18200,18200,36400,372790
vermont,12/21/2020,11400,11400,22800,22800,4875,4875,9750,9750,16275,16275,32550,32550
vermont,12/28/2020,4000,4000,8000,30800,5850,5850,11700,21450,9850,9850,19700,52250
virginia,01/04/2021,50400,50400,100800,494800,50700,50700,101400,333450,101100,101100,202200,828250
virginia,01/11/2021,50600,50600,101200,596000,50700,50700,101400,434850,101300,101300,202600,1030850
virginia,01/18/2021,53100,53100,106200,702200,52650,52650,105300,540150,105750,105750,211500,1242350
virginia,01/25/2021,53100,53100,106200,808400,52650,52650,105300,645450,105750,105750,211500,1453850
virginia,02/01/2021,70100,70100,140200,948600,52650,52650,105300,750750,122750,122750,245500,1699350
virginia,02/08/2021,76600,76600,153200,1101800,52650,52650,105300,856050,129250,129250,258500,1957850
virginia,02/15/2021,82800,82800,165600,1267400,52650,52650,105300,961350,135450,135450,270900,2228750
virginia,02/22/2021,82800,82800,165600,1433000,84240,84240,168480,1129830,167040,167040,334080,2562830
virginia,03/01/2021,82800,82800,165600,1598600,95940,95940,191880,1321710,178740,178740,357480,2920310
virginia,03/08/2021,82800,82800,165600,1764200,105300,105300,210600,1532310,188100,188100,376200,3296510
virginia,03/15/2021,82800,82800,165600,1929800,112320,112320,224640,1756950,195120,195120,390240,3686750
virginia,03/22/2021,82800,82800,165600,2095400,114660,114660,229320,1986270,197460,197460,394920,4081670
virginia,03/29/2021,82800,82800,165600,2261000,140400,140400,280800,2267070,223200,223200,446400,4528070
virginia,12/21/2020,146400,146400,292800,292800,50700,50700,101400,101400,197100,197100,394200,394200
virginia,12/28/2020,50600,50600,101200,394000,65325,65325,130650,232050,115925,115925,231850,626050
washington,01/04/2021,44100,44100,88200,432800,44850,44850,89700,294450,88950,88950,177900,727250
washington,01/11/2021,44300,44300,88600,521400,57525,57525,115050,409500,101825,101825,203650,930900
washington,01/18/2021,46500,46500,93000,614400,46800,46800,93600,503100,93300,93300,186600,1117500
washington,01/25/2021,46500,46500,93000,707400,46800,46800,93600,596700,93300,93300,186600,1304100
washington,02/01/2021,61300,61300,122600,830000,45825,45825,91650,688350,107125,107125,214250,1518350
washington,02/08/2021,67000,67000,134000,964000,46800,46800,93600,781950,113800,113800,227600,1745950
washington,02/15/2021,72400,72400,144800,1108800,46800,46800,93600,875550,119200,119200,238400,1984350
washington,02/22/2021,72400,72400,144800,1253600,73710,73710,147420,1022970,146110,146110,292220,2276570
washington,03/01/2021,72400,72400,144800,1398400,84240,84240,168480,1191450,156640,156640,313280,2589850
washington,03/08/2021,72400,72400,144800,1543200,91260,91260,182520,1373970,163660,163660,327320,2917170
washington,03/15/2021,72400,72400,144800,1688000,98280,98280,196560,1570530,170680,170680,341360,3258530
washington,03/22/2021,72400,72400,144800,1832800,100620,100620,201240,1771770,173020,173020,346040,3604570
washington,03/29/2021,72400,72400,144800,1977600,122850,122850,245700,2017470,195250,195250,390500,3995070
washington,12/21/2020,128000,128000,256000,256000,44850,44850,89700,89700,172850,172850,345700,345700
washington,12/28/2020,44300,44300,88600,344600,57525,57525,115050,204750,101825,101825,203650,549350
west virginia,01/04/2021,11200,11200,22400,110200,11700,11700,23400,76050,22900,22900,45800,186250
west virginia,01/11/2021,11300,11300,22600,132800,11700,11700,23400,99450,23000,23000,46000,232250
west virginia,01/18/2021,11900,11900,23800,156600,11700,11700,23400,122850,23600,23600,47200,279450
west virginia,01/25/2021,11900,11900,23800,180400,11700,11700,23400,146250,23600,23600,47200,326650
west virginia,02/01/2021,15600,15600,31200,211600,11700,11700,23400,169650,27300,27300,54600,381250
west virginia,02/08/2021,17100,17100,34200,245800,11700,11700,23400,193050,28800,28800,57600,438850
west virginia,02/15/2021,18500,18500,37000,282800,11700,11700,23400,216450,30200,30200,60400,499250
west virginia,02/22/2021,18500,18500,37000,319800,18720,18720,37440,253890,37220,37220,74440,573690
west virginia,03/01/2021,18500,18500,37000,356800,22230,22230,44460,298350,40730,40730,81460,655150
west virginia,03/08/2021,18500,18500,37000,393800,23400,23400,46800,345150,41900,41900,83800,738950
west virginia,03/15/2021,18500,18500,37000,430800,25740,25740,51480,396630,44240,44240,88480,827430
west virginia,03/22/2021,18500,18500,37000,467800,25740,25740,51480,448110,44240,44240,88480,915910
west virginia,03/29/2021,18500,18500,37000,504800,31590,31590,63180,511290,50090,50090,100180,1016090
west virginia,12/21/2020,32600,32600,65200,65200,11700,11700,23400,23400,44300,44300,88600,88600
west virginia,12/28/2020,11300,11300,22600,87800,14625,14625,29250,52650,25925,25925,51850,140450
wisconsin,01/04/2021,34700,34700,69400,341200,35100,35100,70200,230100,69800,69800,139600,571300
wisconsin,01/11/2021,34900,34900,69800,411000,35100,35100,70200,300300,70000,70000,140000,711300
wisconsin,01/18/2021,36700,36700,73400,484400,37050,37050,74100,374400,73750,73750,147500,858800
wisconsin,01/25/2021,36700,36700,73400,557800,37050,37050,74100,448500,73750,73750,147500,1006300
wisconsin,02/01/2021,48300,48300,96600,654400,36075,36075,72150,520650,84375,84375,168750,1175050
wisconsin,02/08/2021,52900,52900,105800,760200,37050,37050,74100,594750,89950,89950,179900,1354950
wisconsin,02/15/2021,57100,57100,114200,874400,37050,37050,74100,668850,94150,94150,188300,1543250
wisconsin,02/22/2021,57100,57100,114200,988600,58500,58500,117000,785850,115600,115600,231200,1774450
wisconsin,03/01/2021,57100,57100,114200,1102800,66690,66690,133380,919230,123790,123790,247580,2022030
wisconsin,03/08/2021,57100,57100,114200,1217000,72540,72540,145080,1064310,129640,129640,259280,2281310
wisconsin,03/15/2021,57100,57100,114200,1331200,78390,78390,156780,1221090,135490,135490,270980,2552290
wisconsin,03/22/2021,57100,57100,114200,1445400,79560,79560,159120,1380210,136660,136660,273320,2825610
wisconsin,03/29/2021,57100,57100,114200,1559600,97110,97110,194220,1574430,154210,154210,308420,3134030
wisconsin,12/21/2020,101000,101000,202000,202000,35100,35100,70200,70200,136100,136100,272200,272200
wisconsin,12/28/2020,34900,34900,69800,271800,44850,44850,89700,159900,79750,79750,159500,431700
wyoming,01/04/2021,3500,3500,7000,34000,3900,3900,7800,25350,7400,7400,14800,59350
wyoming,01/11/2021,3500,3500,7000,41000,3900,3900,7800,33150,7400,7400,14800,74150
wyoming,01/18/2021,3700,3700,7400,48400,3900,3900,7800,40950,7600,7600,15200,89350
wyoming,01/25/2021,3700,3700,7400,55800,3900,3900,7800,48750,7600,7600,15200,104550
wyoming,02/01/2021,4800,4800,9600,65400,3900,3900,7800,56550,8700,8700,17400,121950
wyoming,02/08/2021,5300,5300,10600,76000,3900,3900,7800,64350,9200,9200,18400,140350
wyoming,02/15/2021,5700,5700,11400,87400,3900,3900,7800,72150,9600,9600,19200,159550
wyoming,02/22/2021,5700,5700,11400,98800,5850,5850,11700,83850,11550,11550,23100,182650
wyoming,03/01/2021,5700,5700,11400,110200,7020,7020,14040,97890,12720,12720,25440,208090
wyoming,03/08/2021,5700,5700,11400,121600,8190,8190,16380,114270,13890,13890,27780,235870
wyoming,03/15/2021,5700,5700,11400,133000,8190,8190,16380,130650,13890,13890,27780,263650
wyoming,03/22/2021,5700,5700,11400,144400,8190,8190,16380,147030,13890,13890,27780,291430
wyoming,03/29/2021,5700,5700,11400,155800,10530,10530,21060,168090,16230,16230,32460,323890
wyoming,12/21/2020,10000,10000,20000,20000,3900,3900,7800,7800,13900,13900,27800,27800
wyoming,12/28/2020,3500,3500,7000,27000,4875,4875,9750,17550,8375,8375,16750,44550
